grape_id,view,ref_id,source_subdir,ref,ref_base,pair_key,path,variety,color,peso,form,size,num,min,max,Cal 7,Cal 7.5,Cal 8,Cal 8.5,Cal 9,Cal 9.5,Cal 10,Cal 10.5,Cal 11,Cal 11.5,Cal 12,Cal 12.5,Cal 13,Cal 13.5,Cal 14,Cal 14.5,Cal 15,Cal 15.5,Cal 16,Cal 16.5,Cal 17,Cal 17.5,Cal 18,Cal 18.5,Cal 19,Cal 19.5,Cal 20,Cal 20.5,Cal 21,Cal 21.5,Cal 22,Cal 22.5,Cal 23,Cal 23.5,Cal 24,Cal 24.5,Cal 25,Cal 25.5,Cal 26,Cal 26.5,Cal 27,Cal 27.5,Cal 28,Cal 28.5,Cal 29,Cal 29.5,Cal 30,Cal 30.5,Cal 31,Cal 31.5,Cal 32,image_path,exists,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_31,count_32,grape_count_total,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hist_32,mean_mm,variety_raw,variety_idx,split,cache_exists,resolved_image_path,resolved_exists,count_stratum,hist_cluster,selected_reason,subsample_variety,subsample_n_for_variety,subsample_max_target,subsample_output_relpath,subsample_output_abspath
1248,A,1248A,EPG-16-ALLISON,31A,31,EPG-16-ALLISON::31,all_out_v2/EPG-16-ALLISON_IMAGEN_61.jpg,ALLISON,ROJO,202.0,OVALADA,31.0,31.0,16.0,22.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,0,5.0,0,11.0,0,5.0,0,3.0,0,3.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-16-ALLISON_IMAGEN_61.jpg,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,11.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677419,0.16129032,0.3548387,0.16129032,0.09677419,0.09677419,0.032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419353,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-16-ALLISON_IMAGEN_61.jpg,True,0,2,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/1248__1248A__A__EPG-16-ALLISON_31__31.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/1248__1248A__A__EPG-16-ALLISON_31__31.jpg
289,B,289B,EPG-10-ALLISON,27B,27,EPG-10-ALLISON::27,all_out_v2/EPG-10-ALLISON_IMAGEN_54.jpg,ALLISON,ROJA,206.0,OVALADA,33.0,33.0,14.0,24.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,0,1.0,0,6.0,0,8.0,0,6.0,0,4.0,0,4.0,0,1.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_54.jpg,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,8.0,6.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303031,0.030303031,0.030303031,0.18181819,0.24242425,0.18181819,0.121212125,0.121212125,0.030303031,0.0,0.030303031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.636362,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_54.jpg,True,0,1,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/289__289B__B__EPG-10-ALLISON_27__27.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/289__289B__B__EPG-10-ALLISON_27__27.jpg
409,A,409A,EPG-11-ALLISON,11A,11,EPG-11-ALLISON::11,all_out_v2/EPG-11-ALLISON_IMAGEN_21.jpg,ALLISON,ROJA,199.0,OVALADA,43.0,43.0,12.0,20.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,3.0,0,3.0,0,7.0,0,10.0,0,12.0,0,4.0,0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-11-ALLISON_IMAGEN_21.jpg,True,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,10.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.023255814,0.069767445,0.069767445,0.1627907,0.23255815,0.27906978,0.093023255,0.069767445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.069767,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-11-ALLISON_IMAGEN_21.jpg,True,0,0,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/409__409A__A__EPG-11-ALLISON_11__11.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/409__409A__A__EPG-11-ALLISON_11__11.jpg
409,B,409B,EPG-11-ALLISON,11B,11,EPG-11-ALLISON::11,all_out_v2/EPG-11-ALLISON_IMAGEN_22.jpg,ALLISON,ROJA,199.0,OVALADA,43.0,43.0,12.0,20.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,3.0,0,3.0,0,7.0,0,10.0,0,12.0,0,4.0,0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-11-ALLISON_IMAGEN_22.jpg,True,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,10.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.023255814,0.069767445,0.069767445,0.1627907,0.23255815,0.27906978,0.093023255,0.069767445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.069767,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-11-ALLISON_IMAGEN_22.jpg,True,0,0,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/409__409B__B__EPG-11-ALLISON_11__11.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/409__409B__B__EPG-11-ALLISON_11__11.jpg
414,B,414B,EPG-11-ALLISON,16B,16,EPG-11-ALLISON::16,all_out_v2/EPG-11-ALLISON_IMAGEN_32.jpg,ALLISON,ROJA,187.0,OVALADA,45.0,45.0,11.0,18.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,4.0,0,9.0,0,14.0,0,0.0,0,12.0,0,3.0,0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-11-ALLISON_IMAGEN_32.jpg,True,0.0,0.0,0.0,0.0,1.0,4.0,9.0,14.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.022222223,0.08888889,0.2,0.31111112,0.0,0.26666668,0.06666667,0.044444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.466666,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-11-ALLISON_IMAGEN_32.jpg,True,0,3,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/414__414B__B__EPG-11-ALLISON_16__16.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/414__414B__B__EPG-11-ALLISON_16__16.jpg
277,B,277B,EPG-10-ALLISON,15B,15,EPG-10-ALLISON::15,all_out_v2/EPG-10-ALLISON_IMAGEN_30.jpg,ALLISON,ROJA,220.0,OVALADA,47.0,47.0,14.0,22.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,0,7.0,0,5.0,0,7.0,0,12.0,0,7.0,0,2.0,0,2.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_30.jpg,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,7.0,12.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08510638,0.14893617,0.10638298,0.14893617,0.25531915,0.14893617,0.04255319,0.04255319,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.297873,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_30.jpg,True,1,2,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/277__277B__B__EPG-10-ALLISON_15__15.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/277__277B__B__EPG-10-ALLISON_15__15.jpg
278,A,278A,EPG-10-ALLISON,16A,16,EPG-10-ALLISON::16,all_out_v2/EPG-10-ALLISON_IMAGEN_31.jpg,ALLISON,ROJA,290.0,OVALADA,49.0,49.0,16.0,23.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,3.0,0,13.0,0,12.0,0,10.0,0,8.0,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_31.jpg,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,12.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.06122449,0.26530612,0.24489796,0.20408164,0.1632653,0.020408163,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22449,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_31.jpg,True,1,1,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/278__278A__A__EPG-10-ALLISON_16__16.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/278__278A__A__EPG-10-ALLISON_16__16.jpg
278,B,278B,EPG-10-ALLISON,16B,16,EPG-10-ALLISON::16,all_out_v2/EPG-10-ALLISON_IMAGEN_32.jpg,ALLISON,ROJA,290.0,OVALADA,49.0,49.0,16.0,23.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,3.0,0,13.0,0,12.0,0,10.0,0,8.0,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_32.jpg,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,12.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.06122449,0.26530612,0.24489796,0.20408164,0.1632653,0.020408163,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22449,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_32.jpg,True,1,1,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/278__278B__B__EPG-10-ALLISON_16__16.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/278__278B__B__EPG-10-ALLISON_16__16.jpg
326,B,326B,EPG-10-ALLISON,64B,64,EPG-10-ALLISON::64,all_out_v2/EPG-10-ALLISON_IMAGEN_128.jpg,ALLISON,ROJA,170.0,OVALADA,49.0,49.0,11.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,3.0,0,5.0,0,13.0,0,8.0,0,8.0,0,5.0,0,5.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_128.jpg,True,0.0,0.0,0.0,0.0,1.0,3.0,5.0,13.0,8.0,8.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.020408163,0.06122449,0.10204082,0.26530612,0.1632653,0.1632653,0.10204082,0.10204082,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.020408,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_128.jpg,True,1,0,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/326__326B__B__EPG-10-ALLISON_64__64.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/326__326B__B__EPG-10-ALLISON_64__64.jpg
266,A,266A,EPG-10-ALLISON,4A,4,EPG-10-ALLISON::4,all_out_v2/EPG-10-ALLISON_IMAGEN_7.jpg,ALLISON,ROJA,174.0,OVALADA,53.0,53.0,12.0,18.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,0,7.0,0,16.0,0,15.0,0,6.0,0,4.0,0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_7.jpg,True,0.0,0.0,0.0,0.0,0.0,3.0,7.0,16.0,15.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.056603774,0.13207547,0.3018868,0.28301886,0.11320755,0.0754717,0.03773585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.641509,ALLISON,0,val,True,/content/eda_grapes_dataset/all_out_v2/EPG-10-ALLISON_IMAGEN_7.jpg,True,1,0,balanced_count_plus_histdiv,ALLISON,25,25,images/ALLISON/266__266A__A__EPG-10-ALLISON_4__4.jpg,/content/drive/MyDrive/Paper-uvas/v3/residual_visible_training_v2/val_subsample_balanced_25/images/ALLISON/266__266A__A__EPG-10-ALLISON_4__4.jpg
