grape_id,view,ref_id,source_subdir,ref,ref_base,pair_key,path,variety,color,peso,form,size,num,min,max,Cal 7,Cal 7.5,Cal 8,Cal 8.5,Cal 9,Cal 9.5,Cal 10,Cal 10.5,Cal 11,Cal 11.5,Cal 12,Cal 12.5,Cal 13,Cal 13.5,Cal 14,Cal 14.5,Cal 15,Cal 15.5,Cal 16,Cal 16.5,Cal 17,Cal 17.5,Cal 18,Cal 18.5,Cal 19,Cal 19.5,Cal 20,Cal 20.5,Cal 21,Cal 21.5,Cal 22,Cal 22.5,Cal 23,Cal 23.5,Cal 24,Cal 24.5,Cal 25,Cal 25.5,Cal 26,Cal 26.5,Cal 27,Cal 27.5,Cal 28,Cal 28.5,Cal 29,Cal 29.5,Cal 30,Cal 30.5,Cal 31,Cal 31.5,Cal 32
1,A,1A,ALLISON,1A,1,ALLISON::1,all_out_v2/ALLISON_IMAGEN_1.jpg,ALLISON,ROJO,823.0,OVALADA,145.0,145.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,5.0,0,23.0,0,21.0,0,38.0,0,31.0,0,17.0,0,9.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1,B,1B,ALLISON,1B,1,ALLISON::1,all_out_v2/ALLISON_IMAGEN_2.jpg,ALLISON,ROJO,823.0,OVALADA,145.0,145.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,5.0,0,23.0,0,21.0,0,38.0,0,31.0,0,17.0,0,9.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2,A,2A,ALLISON,2A,2,ALLISON::2,all_out_v2/ALLISON_IMAGEN_3.jpg,ALLISON,ROJO,524.0,OVALADA,97.0,97.0,15.0,21.0,,0,,0,,0,,0,,0,,0,,0,,0,2.0,0,15.0,0,18.0,0,27.0,0,20.0,0,9.0,0,6.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2,B,2B,ALLISON,2B,2,ALLISON::2,all_out_v2/ALLISON_IMAGEN_4.jpg,ALLISON,ROJO,524.0,OVALADA,97.0,97.0,15.0,21.0,,0,,0,,0,,0,,0,,0,,0,,0,2.0,0,15.0,0,18.0,0,27.0,0,20.0,0,9.0,0,6.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
3,A,3A,ALLISON,3A,3,ALLISON::3,all_out_v2/ALLISON_IMAGEN_5.jpg,ALLISON,ROJO,330.0,OVALADA,93.0,93.0,16.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.0,0,4.0,0,20.0,0,37.0,0,19.0,0,10.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
3,B,3B,ALLISON,3B,3,ALLISON::3,all_out_v2/ALLISON_IMAGEN_6.jpg,ALLISON,ROJO,330.0,OVALADA,93.0,93.0,16.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.0,0,4.0,0,20.0,0,37.0,0,19.0,0,10.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
4,A,4A,ALLISON,4A,4,ALLISON::4,all_out_v2/ALLISON_IMAGEN_7.jpg,ALLISON,ROJO,361.0,OVALADA,73.0,73.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,4.0,0,20.0,0,25.0,0,12.0,0,7.0,0,3.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
4,B,4B,ALLISON,4B,4,ALLISON::4,all_out_v2/ALLISON_IMAGEN_8.jpg,ALLISON,ROJO,361.0,OVALADA,73.0,73.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,4.0,0,20.0,0,25.0,0,12.0,0,7.0,0,3.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5,A,5A,ALLISON,5A,5,ALLISON::5,all_out_v2/ALLISON_IMAGEN_9.jpg,ALLISON,ROJO,406.0,OVALADA,101.0,101.0,11.0,22.0,,0,,0,,0,,0,1.0,0,1.0,0,1.0,0,7.0,0,8.0,0,22.0,0,34.0,0,21.0,0,2.0,0,3.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5,B,5B,ALLISON,5B,5,ALLISON::5,all_out_v2/ALLISON_IMAGEN_10.jpg,ALLISON,ROJO,406.0,OVALADA,101.0,101.0,11.0,22.0,,0,,0,,0,,0,1.0,0,1.0,0,1.0,0,7.0,0,8.0,0,22.0,0,34.0,0,21.0,0,2.0,0,3.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,A,6A,ALLISON,6A,6,ALLISON::6,all_out_v2/ALLISON_IMAGEN_11.jpg,ALLISON,ROJO,690.0,OVALADA,121.0,121.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,7.0,0,21.0,0,33.0,0,20.0,0,25.0,0,12.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,B,6B,ALLISON,6B,6,ALLISON::6,all_out_v2/ALLISON_IMAGEN_12.jpg,ALLISON,ROJO,690.0,OVALADA,121.0,121.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,7.0,0,21.0,0,33.0,0,20.0,0,25.0,0,12.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
7,A,7A,ALLISON,7A,7,ALLISON::7,all_out_v2/ALLISON_IMAGEN_13.jpg,ALLISON,ROJO,521.0,OVALADA,139.0,139.0,10.0,20.0,,0,,0,,0,2.0,0,,0,1.0,0,1.0,0,7.0,0,21.0,0,42.0,0,37.0,0,14.0,0,12.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
